user_id,register_time,recently_logged,number_of_classes_join,number_of_classes_out,learn_time,leave
用户44251,2020-06-18 09:49:00,2020-06-18 09:49:00,0,0,41.25,False
用户44250,2020-06-18 09:47:00,2020-06-18 09:48:00,0,0,0.0,False
用户44249,2020-06-18 09:43:00,2020-06-18 09:43:00,0,0,16.22,False
用户44248,2020-06-18 09:09:00,2020-06-18 09:09:00,0,0,0.0,False
用户44247,2020-06-18 07:41:00,2020-06-18 08:15:00,0,0,1.8,False
用户44246,2020-06-17 22:36:00,2020-06-17 22:36:00,0,0,48.92,False
用户44245,2020-06-17 22:16:00,2020-06-17 22:16:00,0,0,0.18,False
用户44244,2020-06-17 20:59:00,2020-06-17 21:34:00,0,0,0.0,False
用户44243,2020-06-17 20:33:00,2020-06-17 20:34:00,0,0,297.47,False
用户44242,2020-06-17 18:13:00,2020-06-17 18:13:00,0,0,0.0,False
用户44241,2020-06-17 17:49:00,2020-06-17 17:49:00,0,0,0.0,False
用户44240,2020-06-17 17:25:00,2020-06-17 17:25:00,1,0,1667.28,False
用户44239,2020-06-17 17:24:00,2020-06-17 17:24:00,1,0,2109.75,False
用户44238,2020-06-17 16:48:00,2020-06-17 16:48:00,0,0,263.2,False
用户44235,2020-06-17 16:39:00,2020-06-17 16:39:00,1,0,0.0,False
用户44237,2020-06-17 16:39:00,2020-06-17 16:39:00,1,0,10348.62,False
用户44232,2020-06-17 16:39:00,2020-06-17 16:39:00,1,0,9054.72,False
用户44233,2020-06-17 16:39:00,2020-06-17 16:39:00,1,0,11073.58,False
用户44234,2020-06-17 16:39:00,2020-06-17 16:39:00,1,0,4479.35,False
用户44231,2020-06-17 16:16:00,2020-06-17 16:16:00,0,0,0.45,False
用户44230,2020-06-17 14:08:00,2020-06-17 14:09:00,0,0,1.33,False
用户44229,2020-06-17 14:00:00,2020-06-17 14:00:00,0,0,0.0,False
用户44228,2020-06-17 12:02:00,2020-06-17 12:02:00,0,0,2.1,False
用户44227,2020-06-17 11:43:00,2020-06-17 11:43:00,0,0,4.92,False
用户44226,2020-06-17 10:41:00,2020-06-17 10:42:00,0,0,0.45,False
用户44225,2020-06-17 10:29:00,2020-06-17 10:30:00,0,0,0.0,False
用户44224,2020-06-17 10:26:00,2020-06-17 10:27:00,0,0,0.98,False
用户44223,2020-06-17 10:13:00,2020-06-17 10:14:00,0,0,4.07,False
用户44222,2020-06-17 10:05:00,2020-06-17 10:05:00,0,0,0.0,False
用户44221,2020-06-17 09:32:00,2020-06-17 09:32:00,0,0,109.47,False
用户44220,2020-06-17 09:26:00,2020-06-17 09:34:00,0,0,10.23,False
用户44219,2020-06-17 09:23:00,2020-06-17 09:23:00,0,0,0.55,False
用户44218,2020-06-17 09:07:00,2020-06-17 09:07:00,0,0,0.0,False
用户44217,2020-06-17 08:54:00,2020-06-17 08:54:00,0,0,0.0,False
用户44216,2020-06-17 08:31:00,2020-06-17 08:31:00,0,0,0.32,False
用户44215,2020-06-16 21:08:00,2020-06-16 21:09:00,0,0,0.17,False
用户44214,2020-06-16 19:24:00,2020-06-16 19:24:00,0,0,22.55,False
用户44213,2020-06-16 19:20:00,2020-06-16 19:20:00,0,0,0.0,False
用户44212,2020-06-16 18:32:00,2020-06-16 18:32:00,0,0,0.0,False
用户44211,2020-06-16 17:43:00,2020-06-16 17:44:00,0,0,1.7,False
用户44210,2020-06-16 17:43:00,2020-06-16 17:43:00,0,0,4.83,False
用户44209,2020-06-16 17:35:00,2020-06-16 17:48:00,0,0,0.2,False
用户44208,2020-06-16 17:12:00,2020-06-16 17:13:00,0,0,14.75,False
用户44207,2020-06-16 17:09:00,2020-06-16 18:12:00,0,0,506.37,False
用户44206,2020-06-16 16:48:00,2020-06-16 16:49:00,0,0,0.1,False
用户44205,2020-06-16 16:28:00,2020-06-16 16:28:00,0,0,11.87,False
用户44204,2020-06-16 16:26:00,2020-06-17 17:18:00,0,0,170.88,False
用户44203,2020-06-16 15:59:00,2020-06-16 15:59:00,0,0,232.87,False
